Year,State,Continuum of Care (CoC),CoC Name,CoC Award Amount,,,,,,
2015,VA,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC ",VA-501,3912825,,,,,,
2015,VA,Roanoke City & County/Salem CoC,VA-502,837812,,,,,,
2015,VA,Virginia Beach CoC,VA-503,1602194,,,,,,
2015,VA,Charlottesville CoC,VA-504,369106,,,,,,
2015,VA,Newport News/Hampton/Virginia Peninsula CoC,VA-505,2015935,,,,,,
2015,VA,Portsmouth CoC,VA-507,1157730,,,,,,
2015,VA,Lynchburg CoC,VA-508,338887,,,,,,
2015,VA,"Harrisburg, Winchester/Western Virginia CoC",VA-513,385552,,,,,,
2015,VA,"Fredericksburg/Spotsylvania, Stafford Counties CoC",VA-514,273082,,,,,,
2015,VA,Virginia Balance of State (BoS) CoC,VA-521,808025,,,,,,
2015,VA,Arlington County CoC,VA-600,2459677,,,,,,
2015,VA,Fairfax County CoC,VA-601,8373285,,,,,,
2015,VA,Loudoun County CoC,VA-602,167720,,,,,,
2015,VA,City of Alexandria CoC,VA-603,806998,,,,,,
2015,VA,Prince William County CoC,VA-604,527157,,,,,,
2015,VI,Virgin Islands CoC,VI-500,115754,,,,,,
2015,VT,Vermont Balance of State CoC,VT-500,3231669,,,,,,
2015,VT,Burlington/Chittenden County CoC,VT-501,1036720,,,,,,
2015,WA,Seattle/King County CoC,WA-500,35389214,,,,,,
2015,WA,Washington Balance of State CoC,WA-501,6227178,,,,,,
2015,WA,Spokane City & County CoC,WA-502,3822547,,,,,,
2015,WA,Tacoma/Lakewood/Pierce County CoC,WA-503,3449147,,,,,,
2015,WA,Everett/Snohomish County CoC,WA-504,7900826,,,,,,
2015,WA,Yakima City & County CoC,WA-507,594588,,,,,,
2015,WA,Vancouver/Clark County CoC,WA-508,1517539,,,,,,
2015,WI,Wisconsin Balance of State CoC,WI-500,8773084,,,,,,
2015,WI,Milwaukee City & County CoC,WI-501,10127898,,,,,,
2015,WI,Racine City & County CoC,WI-502,1055535,,,,,,
2015,WI,Madison/Dane County CoC,WI-503,3633373,,,,,,
2015,WV,Wheeling/Weirton Area CoC,WV-500,412132,,,,,,
2015,WV,"Huntington/Cabell, Wayne Counties CoC",WV-501,2205883,,,,,,
2015,WV,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",WV-503,1223874,,,,,,
2015,WV,West Virginia Balance of State CoC,WV-508,3806212,,,,,,
2015,WY,Wyoming Statewide CoC,WY-500,300615,,,,,,
2016,AK,Anchorage CoC,AK-500,2936677,,,,,,
2016,AK,Alaska Balance of State CoC,AK-501,760458,,,,,,
2016,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,8909627,,,,,,
2016,AL,Mobile City & County/Baldwin County CoC,AL-501,3851277,,,,,,
2016,AL,Florence/Northwest Alabama CoC,AL-502,469366,,,,,,
2016,AL,Huntsville/North Alabama CoC,AL-503,703494,,,,,,
2016,AL,Montgomery City & County CoC,AL-504,2105613,,,,,,
2016,AL,Gadsden/Northeast Alabama CoC,AL-505,0,,,,,,
2016,AL,Tuscaloosa City & County CoC,AL-506,216199,,,,,,
2016,AL,Alabama Balance of State CoC,AL-507,916817,,,,,,
2016,AR,Little Rock/Central Arkansas CoC,AR-500,3213437,,,,,,
2016,AR,Fayetteville/Northwest Arkansas CoC,AR-501,382645,,,,,,
2016,AR,Arkansas  Balance of State  CoC,AR-503,426096,,,,,,
2016,AR,Southeast Arkansas CoC,AR-505,271580,,,,,,
2016,AR,Fort Smith CoC,AR-508,0,,,,,,
2016,AR," Boone, Baxter, Marion, Newton Counties CoC",AR-512,0,,,,,,
2016,AZ,Arizona Balance of State CoC,AZ-500,3999989,,,,,,
2016,AZ,Tucson/Pima County CoC,AZ-501,8414896,,,,,,
2016,AZ,"Phoenix, Mesa/Maricopa County CoC",AZ-502,25418465,,,,,,
2016,CA,San Jose/Santa Clara City & County CoC,CA-500,20015353,,,,,,
2016,CA,San Francisco CoC,CA-501,31804009,,,,,,
2016,CA,"Oakland, Berkeley/Alameda County CoC",CA-502,33998867,,,,,,
2016,CA,Sacramento City & County CoC,CA-503,19511838,,,,,,
2016,CA,"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,3076336,,,,,,
2016,CA,Richmond/Contra Costa County CoC,CA-505,13076992,,,,,,
2016,CA,"Salinas/Monterey, San Benito Counties CoC",CA-506,1967620,,,,,,
2016,CA,Marin County CoC,CA-507,3328338,,,,,,
2016,CA,Watsonville/Santa Cruz City & County CoC,CA-508,1953274,,,,,,
2016,CA,Mendocino County CoC,CA-509,1701242,,,,,,
2016,CA,"Turlock, Modesto/Stanislaus County CoC",CA-510,3110273,,,,,,
2016,CA,Stockton/San Joaquin County CoC,CA-511,4290724,,,,,,
2016,CA,Daly/San Mateo County CoC,CA-512,8583356,,,,,,
2016,CA,"Visalia/Kings, Tulare Counties CoC",CA-513,2087201,,,,,,
2016,CA,Fresno City & County/Madera County CoC,CA-514,9006586,,,,,,
2016,CA,"Roseville, Rocklin/Placer, Nevada Counties CoC",CA-515,1269692,,,,,,
2016,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,346705,,,,,,
2016,CA,Napa City & County CoC,CA-517,715483,,,,,,
2016,CA,Vallejo/Solano County CoC,CA-518,1288063,,,,,,
2016,CA,"Chico, Paradise/Butte County CoC",CA-519,528301,,,,,,
2016,CA,Merced City & County CoC,CA-520,738049,,,,,,
2016,CA,"Davis, Woodland/Yolo County CoC",CA-521,487860,,,,,,
2016,CA,Humboldt County CoC,CA-522,822933,,,,,,
2016,CA,"Colusa, Glenn, Trinity Counties CoC",CA-523,**,,,,,,
2016,CA,Yuba City & County/Sutter County CoC,CA-524,2490,,,,,,
2016,CA,El Dorado County CoC,CA-525,9817,,,,,,
2016,CA,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,313976,,,,,,
2016,CA,Tehama County CoC,CA-527,5511,,,,,,
2016,CA,Lake County CoC,CA-529,**,,,,,,
2016,CA,"Alpine, Inyo, Mono Counties CoC",CA-530,3091,,,,,,
2016,CA,Los Angeles City & County CoC,CA-600,104971653,,,,,,
2016,CA,San Diego City and County CoC,CA-601,18229194,,,,,,
2016,CA,"Santa Ana, Anaheim/Orange County CoC",CA-602,22354847,,,,,,
2016,CA,Santa Maria/Santa Barbara County CoC,CA-603,1667801,,,,,,
2016,CA,Bakersfield/Kern County CoC,CA-604,5469432,,,,,,
2016,CA,Long Beach CoC,CA-606,7641265,,,,,,
2016,CA,Pasadena CoC,CA-607,3176554,,,,,,
2016,CA,Riverside City & County CoC,CA-608,9385526,,,,,,
2016,CA,San Bernardino City & County CoC,CA-609,10339584,,,,,,
2016,CA,"Oxnard, San Buenaventura/Ventura County CoC",CA-611,2174740,,,,,,
2016,CA,Glendale CoC,CA-612,2371801,,,,,,
2016,CA,Imperial County CoC,CA-613,191704,,,,,,
2016,CA,San Luis Obispo County CoC,CA-614,928536,,,,,,
2016,CO,Colorado Balance of State CoC,CO-500,2870432,,,,,,
2016,CO,Metropolitan Denver CoC,CO-503,24256915,,,,,,
2016,CO,Colorado Springs/El Paso County CoC,CO-504,2443940,,,,,,
2016,CT,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",CT-503,10192385,,,,,,
2016,CT,Connecticut Balance of State CoC,CT-505,34391375,,,,,,
2016,DC,District of Columbia CoC,DC-500,21198186,,,,,,
2016,DE,Delaware Statewide CoC,DE-500,7858054,,,,,,
2016,FL,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,871530,,,,,,
2016,FL,Tampa/Hillsborough County CoC,FL-501,6242867,,,,,,
2016,FL,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,4037891,,,,,,
2016,FL,"Lakeland, Winterhaven/Polk County CoC",FL-503,1636029,,,,,,
2016,FL,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",FL-504,1220958,,,,,,
2016,FL,"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,574187,,,,,,
2016,FL,Tallahassee/Leon County CoC,FL-506,1341171,,,,,,
2016,FL,"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,7445861,,,,,,
2016,FL,"Gainesville/Alachua, Putnam Counties CoC",FL-508,627897,,,,,,
2016,FL,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,1577584,,,,,,
2016,FL,"Jacksonville-Duval, Clay Counties CoC",FL-510,4447876,,,,,,
2016,FL,"Pensacola/Escambia, Santa Rosa Counties CoC",FL-511,784376,,,,,,
2016,FL,St. Johns County CoC,FL-512,133345,,,,,,
2016,FL,"Palm Bay, Melbourne/Brevard County CoC",FL-513,687401,,,,,,
2016,FL,Ocala/Marion County CoC,FL-514,190997,,,,,,
2016,FL,"Panama City/Bay, Jackson Counties CoC",FL-515,52529,,,,,,
2016,FL,"Hendry, Hardee, Highlands Counties CoC",FL-517,179216,,,,,,
2016,FL,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",FL-518,357356,,,,,,
2016,FL,Pasco County CoC,FL-519,886629,,,,,,
2016,FL,"Citrus, Hernando, Lake, Sumter Counties CoC",FL-520,450265,,,,,,
2016,FL,Miami-Dade County CoC,FL-600,29898527,,,,,,
2016,FL,Ft Lauderdale/Broward County CoC,FL-601,10375134,,,,,,
2016,FL,Punta Gorda/Charlotte County CoC,FL-602,189201,,,,,,
2016,FL,"Ft Myers, Cape Coral/Lee County CoC",FL-603,1661056,,,,,,
2016,FL,Monroe County CoC,FL-604,471296,,,,,,
2016,FL,West Palm Beach/Palm Beach County CoC,FL-605,4946880,,,,,,
2016,FL,Naples/Collier County CoC,FL-606,278807,,,,,,
2016,GA,Atlanta CoC,GA-500,6979344,,,,,,
2016,GA,Georgia Balance of State CoC,GA-501,16095286,,,,,,
2016,GA,Fulton County CoC,GA-502,2604210,,,,,,
2016,GA,Athens-Clarke County CoC,GA-503,663759,,,,,,
2016,GA,Augusta-Richmond County CoC,GA-504,622090,,,,,,
2016,GA,Columbus-Muscogee/Russell County CoC,GA-505,1360498,,,,,,
2016,GA,Marietta/Cobb County CoC,GA-506,2152110,,,,,,
2016,GA,Savannah/Chatham County CoC,GA-507,3389764,,,,,,
2016,GA,DeKalb County CoC,GA-508,4781918,,,,,,
2016,GU,Guam CoC,GU-500,1121767,,,,,,
2016,HI,Hawaii Balance of State CoC,HI-500,2146702,,,,,,
2016,HI,Honolulu City and County CoC,HI-501,9372980,,,,,,
2016,IA,"Sioux City/Dakota, Woodbury Counties CoC",IA-500,712980,,,,,,
2016,IA,Iowa Balance of State CoC,IA-501,4755436,,,,,,
2016,IA,Des Moines/Polk County CoC,IA-502,3370014,,,,,,
2016,ID,Boise/Ada County CoC,ID-500,901578,,,,,,
2016,ID,Idaho Balance of State CoC,ID-501,2767872,,,,,,
2016,IL,McHenry County CoC,IL-500,975924,,,,,,
2016,IL,"Rockford/Winnebago, Boone Counties CoC",IL-501,1528983,,,,,,
2016,IL,"Waukegan, North Chicago/Lake County CoC",IL-502,2137755,,,,,,
2016,IL,"Champaign, Urbana, Rantoul/Champaign County CoC",IL-503,710403,,,,,,
2016,IL,Madison County CoC,IL-504,1891803,,,,,,
2016,IL,"Joliet, Bolingbrook/Will County CoC",IL-506,3752278,,,,,,
2016,IL,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",IL-507,1788852,,,,,,
2016,IL,"East St. Louis, Belleville/St. Clair County CoC",IL-508,3189769,,,,,,
2016,IL,Dekalb City & County CoC,IL-509,568565,,,,,,
2016,IL,Chicago CoC,IL-510,64921879,,,,,,
2016,IL,Cook County CoC,IL-511,11770688,,,,,,
2016,IL,Bloomington/Central Illinois CoC,IL-512,1022802,,,,,,
2016,IL,Springfield/Sangamon County CoC,IL-513,438717,,,,,,
2016,IL,DuPage County CoC,IL-514,4411902,,,,,,
2016,IL,South Central Illinois CoC,IL-515,902088,,,,,,
2016,IL,Decatur/Macon County CoC,IL-516,790791,,,,,,
2016,IL,"Aurora, Elgin/Kane County CoC",IL-517,1622893,,,,,,
2016,IL,"Rock Island, Moline/Northwestern Illinois CoC",IL-518,943042,,,,,,
2016,IL,West Central Illinois CoC,IL-519,650720,,,,,,
2016,IL,Southern Illinois CoC,IL-520,842336,,,,,,
2016,IN,South Bend/Mishawaka/St. Joseph County CoC,IN-500,1435007,,,,,,
2016,IN,Indiana Balance of State CoC,IN-502,11424156,,,,,,
2016,IN,Indianapolis CoC,IN-503,5030641,,,,,,
2016,KS,Wichita/Sedgwick County CoC,KS-502,2479662,,,,,,
2016,KS,Topeka/Shawnee County CoC,KS-503,1780468,,,,,,
2016,KS,"Overland Park, Shawnee/Johnson County CoC",KS-505,677397,,,,,,
2016,KS,Kansas Balance of State CoC,KS-507,2594677,,,,,,
2016,KY,Kentucky Balance of State CoC,KY-500,8113444,,,,,,
2016,KY,Louisville-Jefferson County CoC,KY-501,9448427,,,,,,
2016,KY,Lexington-Fayette County CoC,KY-502,1501736,,,,,,
2016,LA,Lafayette/Acadiana CoC,LA-500,2477638,,,,,,
2016,LA,"Shreveport, Bossier/Northwest Louisiana CoC",LA-502,3884305,,,,,,
2016,LA,New Orleans/Jefferson Parish CoC,LA-503,18924229,,,,,,
2016,LA,Monroe/Northeast Louisiana CoC,LA-505,1619854,,,,,,
2016,LA,Slidell/Southeast Louisiana CoC,LA-506,2232580,,,,,,
2016,LA,Alexandria/Central Louisiana CoC,LA-507,719772,,,,,,
2016,LA,Houma-Terrebonne/Thibodaux CoC,LA-508,1084405,,,,,,
2016,LA,Louisiana Balance of State CoC,LA-509,14660729,,,,,,
2016,MA,Boston CoC,MA-500,24243260,,,,,,
2016,MA,Lynn CoC,MA-502,1732766,,,,,,
2016,MA,Cape Cod Islands CoC,MA-503,1758102,,,,,,
2016,MA,Springfield/Hampden County CoC,MA-504,3479984,,,,,,
2016,MA,New Bedford CoC,MA-505,1739069,,,,,,
2016,MA,Worcester City & County CoC,MA-506,6357364,,,,,,
2016,MA,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",MA-507,1571830,,,,,,
2016,MA,Lowell CoC,MA-508,833056,,,,,,
2016,MA,Cambridge CoC,MA-509,4141665,,,,,,
2016,MA,"Gloucester, Haverhill, Salem/Essex County CoC",MA-510,1722258,,,,,,
2016,MA,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",MA-511,5530889,,,,,,
2016,MA,Fall River CoC,MA-515,1775574,,,,,,
2016,MA,Massachusetts Balance of State CoC,MA-516,11855946,,,,,,
2016,MA,Somerville CoC,MA-517,1922372,,,,,,
2016,MA,"Attleboro, Taunton/Bristol County CoC",MA-519,798948,,,,,,
2016,MD,Cumberland/Allegany County CoC,MD-500,650648,,,,,,
2016,MD,Baltimore CoC,MD-501,21106170,,,,,,
2016,MD,Harford County CoC,MD-502,920787,,,,,,
2016,MD,Annapolis/Anne Arundel County CoC,MD-503,2303378,,,,,,
2016,MD,Howard County CoC,MD-504,785410,,,,,,
2016,MD,Baltimore County CoC,MD-505,2766391,,,,,,
2016,MD,Carroll County CoC,MD-506,390453,,,,,,
2016,MD,Cecil County CoC,MD-507,244476,,,,,,
2016,MD,"Charles, Calvert, St.Mary's Counties CoC",MD-508,2648561,,,,,,
2016,MD,Frederick City & County CoC,MD-509,568257,,,,,,
2016,MD,Garrett County CoC,MD-510,237274,,,,,,
2016,MD,Mid-Shore Regional CoC,MD-511,687157,,,,,,
2016,MD,Hagerstown/Washington County CoC,MD-512,501992,,,,,,
2016,MD,"Wicomico, Somerset, Worcester Counties CoC",MD-513,1231811,,,,,,
2016,MD,Prince George's County CoC,MD-600,4903772,,,,,,
2016,MD,Montgomery County CoC,MD-601,8288534,,,,,,
2016,ME,Maine Statewide CoC,ME-500,11810751,,,,,,
2016,MI,Michigan Balance of State CoC,MI-500,8872886,,,,,,
2016,MI,Detroit CoC,MI-501,23271331,,,,,,
2016,MI,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",MI-502,3405983,,,,,,
2016,MI,"St. Clair Shores, Warren/Macomb County CoC",MI-503,1198139,,,,,,
2016,MI,"Pontiac, Royal Oak/Oakland County CoC",MI-504,5807618,,,,,,
2016,MI,Flint/Genesee County CoC,MI-505,2105600,,,,,,
2016,MI,"Grand Rapids, Wyoming/Kent County CoC",MI-506,5511453,,,,,,
2016,MI,"Portage, Kalamazoo City & County CoC",MI-507,1730134,,,,,,
2016,MI,"Lansing, East Lansing/Ingham County CoC",MI-508,2551559,,,,,,
2016,MI,Washtenaw County CoC,MI-509,5733891,,,,,,
2016,MI,Saginaw City & County CoC,MI-510,1806174,,,,,,
2016,MI,Lenawee County CoC,MI-511,107596,,,,,,
2016,MI,"Grand Traverse, Antrim, Leelanau Counties CoC",MI-512,675516,,,,,,
2016,MI,"Marquette, Alger Counties CoC",MI-513,131967,,,,,,
2016,MI,Battle Creek/Calhoun County CoC,MI-514,305356,,,,,,
2016,MI,Monroe City & County CoC,MI-515,129387,,,,,,
2016,MI,"Norton Shores, Muskegon City & County CoC",MI-516,571984,,,,,,
2016,MI,Jackson City & County CoC,MI-517,818093,,,,,,
2016,MI,Livingston County CoC,MI-518,219006,,,,,,
2016,MI,Holland/Ottawa County CoC,MI-519,1017437,,,,,,
2016,MI,Eaton County CoC,MI-523,929250,,,,,,
2016,MN,Minneapolis/Hennepin County CoC,MN-500,11814366,,,,,,
2016,MN,Saint Paul/Ramsey County CoC,MN-501,6976719,,,,,,
2016,MN,Rochester/Southeast Minnesota CoC,MN-502,2032007,,,,,,
2016,MN,"Dakota, Anoka, Washington, Scott, Carver Counties ",MN-503,3775053,,,,,,
2016,MN,Northeast Minnesota CoC,MN-504,441917,,,,,,
2016,MN,St. Cloud/Central Minnesota CoC,MN-505,1406233,,,,,,
2016,MN,Northwest Minnesota CoC,MN-506,672506,,,,,,
2016,MN,Moorhead/West Central Minnesota CoC,MN-508,824001,,,,,,
2016,MN,Duluth/St.Louis County CoC,MN-509,3045367,,,,,,
2016,MN,Southwest Minnesota CoC,MN-511,984744,,,,,,
2016,MO,St. Louis County CoC,MO-500,1947438,,,,,,
2016,MO,St.Louis City CoC,MO-501,11327426,,,,,,
2016,MO,"St. Charles City & County, Lincoln, Warren Counties CoC",MO-503,287447,,,,,,
2016,MO,"Springfield/Greene, Christian, Webster Counties CoC",MO-600,901775,,,,,,
2016,MO,"Joplin/Jasper, Newton Counties CoC",MO-602,549936,,,,,,
2016,MO,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",MO-603,1258363,,,,,,
2016,KS,Kansas City/Wyandotte County CoC,MO-604K,12834032,,,,,,
2016,MO,Kansas City/Independence/Lee's Summit/Jackson County CoC,MO-604M,*,,,,,,
2016,MO,Missouri Balance of State CoC,MO-606,4942202,,,,,,
2016,MP,Northern Mariana Islands CoC,MP-500,0,,,,,,
2016,MS,"Jackson/Rankin, Madison Counties CoC",MS-500,1313447,,,,,,
2016,MS,Mississippi Balance of State CoC,MS-501,3241980,,,,,,
2016,MS,Gulf Port/Gulf Coast Regional CoC,MS-503,812476,,,,,,
2016,MT,Montana Statewide CoC,MT-500,2446282,,,,,,
2016,NC,Winston-Salem/Forsyth County CoC,NC-500,1896891,,,,,,
2016,NC,Asheville/Buncombe County CoC,NC-501,1206060,,,,,,
2016,NC,Durham City & County CoC,NC-502,1282978,,,,,,
2016,NC,North Carolina Balance of State CoC,NC-503,8409964,,,,,,
2016,NC,"Greensboro, High Point CoC",NC-504,2006402,,,,,,
2016,NC,Charlotte/Mecklenberg CoC,NC-505,3659196,,,,,,
2016,NC,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",NC-506,668205,,,,,,
2016,NC,Raleigh/Wake County CoC,NC-507,3187757,,,,,,
2016,NC,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",NC-509,835476,,,,,,
2016,NC,Fayetteville/Cumberland County CoC,NC-511,698580,,,,,,
2016,NC,Chapel Hill/Orange County CoC,NC-513,656714,,,,,,
2016,NC,Northwest North Carolina CoC,NC-516,288831,,,,,,
2016,ND,North Dakota Statewide CoC,ND-500,1903991,,,,,,
2016,NE,Nebraska Balance of State CoC,NE-500,2027150,,,,,,
2016,NE,"Omaha, Council Bluffs CoC",NE-501,4235409,,,,,,
2016,NE,Lincoln CoC,NE-502,2257143,,,,,,
2016,NH,New Hampshire Balance of State CoC,NH-500,3556085,,,,,,
2016,NH,Manchester CoC,NH-501,1544841,,,,,,
2016,NH,Nashua/Hillsborough County CoC,NH-502,1869026,,,,,,
2016,NJ,Atlantic City & County CoC,NJ-500,519516,,,,,,
2016,NJ,Bergen County CoC,NJ-501,4787854,,,,,,
2016,NJ,Burlington County CoC,NJ-502,478083,,,,,,
2016,NJ,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",NJ-503,3548788,,,,,,
2016,NJ,Newark/Essex County CoC,NJ-504,6604274,,,,,,
2016,NJ,"Jersey City, Bayonne/Hudson County CoC",NJ-506,6557997,,,,,,
2016,NJ,New Brunswick/Middlesex County CoC,NJ-507,2949971,,,,,,
2016,NJ,Monmouth County CoC,NJ-508,3473553,,,,,,
2016,NJ,Morris County CoC,NJ-509,1780503,,,,,,
2016,NJ,Lakewood Township/Ocean County CoC,NJ-510,566500,,,,,,
2016,NJ,Paterson/Passaic County CoC,NJ-511,4090373,,,,,,
2016,NJ,Salem County CoC,NJ-512,139618,,,,,,
2016,NJ,Somerset County CoC,NJ-513,416211,,,,,,
2016,NJ,Trenton/Mercer County CoC,NJ-514,3837859,,,,,,
2016,NJ,Elizabeth/Union County CoC,NJ-515,4598725,,,,,,
2016,NJ,"Warren, Sussex, Hunterdon Counties CoC   ",NJ-516,1224785,,,,,,
2016,NM,Albuquerque CoC,NM-500,5794442,,,,,,
2016,NM,New Mexico Balance of State CoC,NM-501,4963571,,,,,,
2016,NV,Las Vegas/Clark County CoC,NV-500,13484302,,,,,,
2016,NV,"Reno, Sparks/Washoe County CoC",NV-501,1703062,,,,,,
2016,NV,Nevada Balance of State CoC,NV-502,574995,,,,,,
2016,NY,"Rochester, Irondequoit, Greece/Monroe County CoC",NY-500,11853955,,,,,,
2016,NY,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC ",NY-501,1527165,,,,,,
2016,NY,Albany City & County CoC,NY-503,5154071,,,,,,
2016,NY,Cattaragus County CoC,NY-504,328417,,,,,,
2016,NY,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",NY-505,8658238,,,,,,
2016,NY,Schenectady City & County CoC,NY-507,3881004,,,,,,
2016,NY,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",NY-508,11765574,,,,,,
2016,NY,Ithaca/Tompkins County CoC,NY-510,197057,,,,,,
2016,NY,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC",NY-511,1607135,,,,,,
2016,NY,Troy/Rensselaer County CoC,NY-512,3292226,,,,,,
2016,NY,"Wayne, Ontario, Seneca, Yates Counties CoC",NY-513,314662,,,,,,
2016,NY,"Jamestown, Dunkirk/Chautauqua County CoC",NY-514,217879,,,,,,
2016,NY,Clinton County CoC,NY-516,143907,,,,,,
2016,NY,"Utica, Rome/Oneida, Madison Counties CoC",NY-518,3110204,,,,,,
2016,NY,"Columbia, Greene Counties CoC",NY-519,450923,,,,,,
2016,NY,"Franklin, Essex Counties CoC",NY-520,88936,,,,,,
2016,NY,"Jefferson, Lewis, St. Lawrence Counties CoC",NY-522,1297889,,,,,,
2016,NY,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",NY-523,1581004,,,,,,
2016,NY,New York City CoC,NY-600,107493608,,,,,,
2016,NY,Poughkeepsie/Dutchess County CoC,NY-601,1338222,,,,,,
2016,NY,"Newburgh, Middletown/Orange County CoC",NY-602,2743298,,,,,,
2016,NY,"Nassau, Suffolk Counties CoC",NY-603,10612648,,,,,,
2016,NY,"Yonkers, Mount Vernon/Westchester County CoC",NY-604,15997082,,,,,,
2016,NY,Rockland County CoC,NY-606,731495,,,,,,
2016,NY,Sullivan County CoC,NY-607,366967,,,,,,
2016,NY,Kingston/Ulster County CoC,NY-608,1166718,,,,,,
2016,OH,Cincinnati/Hamilton County CoC,OH-500,17469842,,,,,,
2016,OH,Toledo/Lucas County CoC,OH-501,4180179,,,,,,
2016,OH,Cleveland/Cuyahoga County CoC,OH-502,26997332,,,,,,
2016,OH,Columbus/Franklin County CoC,OH-503,11968018,,,,,,
2016,OH,Youngstown/Mahoning County CoC,OH-504,1749421,,,,,,
2016,OH,"Dayton, Kettering/Montgomery County CoC",OH-505,8907293,,,,,,
2016,OH,"Akron, Barberton/Summit County CoC",OH-506,4711705,,,,,,
2016,OH,Ohio Balance of State CoC,OH-507,16189733,,,,,,
2016,OH,"Canton, Massillon, Alliance/Stark County CoC",OH-508,2696040,,,,,,
2016,OK,North Central Oklahoma CoC,OK-500,286706,,,,,,
2016,OK,Tulsa City & County CoC,OK-501,2794032,,,,,,
2016,OK,Oklahoma City CoC,OK-502,3230712,,,,,,
2016,OK,Oklahoma Balance of State CoC,OK-503,578363,,,,,,
2016,OK,Norman/Cleveland County CoC,OK-504,408358,,,,,,
2016,OK,Northeast Oklahoma CoC,OK-505,364564,,,,,,
2016,OK,Southwest Oklahoma Regional CoC,OK-506,108098,,,,,,
2016,OK,Southeastern Oklahoma Regional CoC,OK-507,120983,,,,,,
2016,OR,"Eugene, Springfield/Lane County CoC",OR-500,3377840,,,,,,
2016,OR,"Portland, Gresham/Multnomah County CoC",OR-501,21649478,,,,,,
2016,OR,"Medford, Ashland/Jackson County CoC",OR-502,265111,,,,,,
2016,OR,Central Oregon CoC,OR-503,597510,,,,,,
2016,OR,Oregon Balance of State CoC,OR-505,3134740,,,,,,
2016,OR,"Hillsboro, Beaverton/Washington County CoC",OR-506,3367261,,,,,,
2016,OR,Clackamas County CoC,OR-507,2294569,,,,,,
2016,PA,Philadelphia CoC,PA-500,33542976,,,,,,
2016,PA,Harrisburg/Dauphin County CoC,PA-501,1683543,,,,,,
2016,PA,"Upper Darby, Chester, Haverford/Delaware County CoC",PA-502,5141756,,,,,,
2016,PA,"Wilkes-Barre, Hazleton/Luzerne County CoC",PA-503,3917394,,,,,,
2016,PA,"Lower Merion, Norristown, Abington/Montgomery County CoC",PA-504,2973442,,,,,,
2016,PA,Chester County CoC,PA-505,1642543,,,,,,
2016,PA,Reading/Berks County CoC,PA-506,2828868,,,,,,
2016,PA,Scranton/Lackawanna County CoC,PA-508,2586130,,,,,,
2016,PA,Eastern Pennsylvania CoC,PA-509,10978472,,,,,,
2016,PA,Lancaster City & County CoC,PA-510,2311097,,,,,,
2016,PA,"Bristol, Bensalem/Bucks County CoC",PA-511,1174207,,,,,,
2016,PA,York City & County CoC,PA-512,1196933,,,,,,
2016,PA,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA-600,17787724,,,,,,
2016,PA,Western Pennsylvania CoC,PA-601,8977926,,,,,,
2016,PA,Beaver County CoC,PA-603,1347740,,,,,,
2016,PA,Erie City & County CoC,PA-605,2267190,,,,,,
2016,PR,Puerto Rico Balance of Commonwealth CoC,PR-502,13057303,,,,,,
2016,PR,South-Southeast Puerto Rico CoC,PR-503,5658674,,,,,,
2016,RI,Rhode Island Statewide CoC,RI-500,5932887,,,,,,
2016,SC,Charleston/Low Country CoC,SC-500,1719596,,,,,,
2016,SC,"Greenville, Anderson, Spartanburg/Upstate CoC",SC-501,3240222,,,,,,
2016,SC,Columbia/Midlands CoC,SC-502,2856086,,,,,,
2016,SC,"Myrtle Beach, Sumter City & County CoC",SC-503,1918122,,,,,,
